Code,Question Name,Question Weight,Answer,Answer Weight,Scoring Type,Metric Domain,Ordinal,All Vendors,Question Description,Branching Logic,Category Name,Internal,Upload Answers,Allows Text For Answers,Tech Vendor,System Vendor,Service Vendor,Allows Comment To Answers,Use Color Coding
COML:044,Is the risk appetite informed by the institution's role in critical infrastructure?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,44,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:045,Is management continuously improving the existing cybersecurity program to adapt as the desired cybersecurity target state changes?,4,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,45,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:046,Does the cybersecurity strategy identify and communicate the institution's role as it relates to other critical infrastructures?,5,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,46,NO,,,Cyber Risk Management and Oversight / Governance / Strategies & Policies,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:047,"Is an inventory of organizational assets (e.g., hardware, software, data, and systems hosted externally) maintained?",1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,47,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:048,"Are organizational assets (e.g., hardware, systems, data, and applications) prioritized for protection based on the data classification and business value?",1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,48,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:049,Does management assign accountability for maintaining an inventory of organizational assets?,1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,49,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:050,"Is a change management process in place to request and approve changes to systems configurations, hardware, software, applications, and security tools?",1,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,50,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:051,"Is the asset inventory, including identification of critical assets, updated at least annually to address new, relocated, re-purposed, and sunset assets?",2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,51,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
COML:052,Does the institution have a documented asset life-cycle process that considers whether assets to be acquired have appropriate security safeguards?,2,No,10,Organization,FFIEC CAT Cyber Org Maturity Level,52,NO,,,Cyber Risk Management and Oversight / Governance / IT Asset Management,NO,NO,NO,NO,NO,NO,YES,YES
,,,N/A,5,,,,,,,,,,,,,,,
,,,Yes,0,,,,,,,,,,,,,,,
