Constant,Scope,Value,Default Value
PAGINATION$LAST_PAGE,UI,Последняя страница,Last page
PAGINATION$NEXT_PAGE,UI,Следующая страница,Next page
PAGINATION$PAGES_LABEL,UI,Страница {0} из {1},Page {0} from {1}
PAGINATION$PREVIOUS_PAGE,UI,Предыдущая страница,Previous page
PAGINATION$SIZE,UI,Кол-во,Size
PAGINATION$TOTAL_PAGES,UI,Всего страниц,Total pages
POLICY_MANAGEMENT$ANNUAL_REVIEW,UI,Годовой отчет,Annual review
POLICY_MANAGEMENT$ANNUAL_REVIEW_DATE,UI,Дата годового отчета,Annual review date
POLICY_MANAGEMENT$APPROVAL,UI,Утверждение,Approval
POLICY_MANAGEMENT$APPROVED,UI,Дата утверждения,Approved
POLICY_MANAGEMENT$APPROVED_BY,UI,Утверждено,Approve by
POLICY_MANAGEMENT$CREATE_POLICY,UI,Создать политику,Create policy
POLICY_MANAGEMENT$EDIT_POLICY,UI,Редактировать политику,Edit policy
POLICY_MANAGEMENT$GDPR_ARTICLES,UI,GDPR-статьи,GDPR articles
POLICY_MANAGEMENT$POLICY,UI,Политика,Policy
POLICY_MANAGEMENT$TITLE,UI,Управление политикой,Policy management
PROCESSES$BUSINESS_UNIT_OWNS,UI,Собственные бизнес-единицы,Business unit owns
PROCESSES$CREATE_PROCESS,UI,Создать процесс,Create process
PROCESSES$EDIT_PROCESS,UI,Редактировать процесс,Edit process
PROCESSES$PROCESS,UI,Процесс,Process
PROCESSES$REVENUE_PROCESSED,UI,Доходов обработано (в час),Revenue processed (By Hour)
PROCESSES$SEARCH_BY_PROCESS,UI,Поиск по 'процессу',Search by process
PROCESSES$TITLE,UI,Процессы,Processes
PROCESSES$USES_BUSINESS_UNITS,UI,Используемые бизнес-единицы,Uses business units
PROFILE$PROFILE,UI,Профиль,Profile
PROFILE$TITLE,UI,Редактировать профиль,Edit profile
REASSIGN$REASSIGN,UI,Переназначить,Reassign
REASSIGN$REASSIGN_OWNER,UI,Переназначить владельца,Reassign owner
REASSIGN$REASSIGN_QUESTIONS,UI,Переназначить вопросы,Reassign questions
REGULATORY_EXPOSURES$ORGANIZATION_REVENUE,UI,Выручка организации,Organization revenue
REGULATORY_EXPOSURES$TITLE,UI,Регуляторные уязвимости,Regulatory exposures
RISK_METRICS$CREATE_METRIC,UI,Создать риск-метрику,Create risk metric
RISK_METRICS$EDIT_METRIC,UI,Редактировать риск-метрику,Edit risk metric
RISK_METRICS$IS_RESIDUAL,UI,Использовать метрику как неотъемлемый риск,Use metric as Inherent Risk
RISK_METRICS$RISK_METRIC,UI,Риск-метрика,Risk metric
RISK_METRICS$TITLE,UI,Риск-метрики,Risk metrics
RISK_MODEL$CHANGE_MODEL,UI,"Изменить риск-модель","Change risk model"
RISK_MODEL$DIALOG_TITLE,UI,Выбрать модель,Select model
RISK_MODEL$TITLE,UI,Риск-модель,Risk model
SCORING_METRICS$CREATE_METRIC,UI,"Создать оценку воздействия на конфиденциальность","Create privacy impact assessment"
SCORING_METRICS$EDIT_METRIC,UI,Редактировать оценку воздействия на конфиденциальность","Edit privacy impact assessment"
SCORING_METRICS$METRIC_DOMAIN,UI,"Область оценки","Assessment domain"
