Constant,Scope,Value,Default Value
DASHBOARDS$ORGANIZATION$CYBER_RISK$SUMMARY_SCORES$ITEM_NAME,SERVER,Summary Scores,Summary Scores
DASHBOARDS$ORGANIZATION$CYBER_RISK$SUMMARY_SCORES$SYSTEM_HEADER,SERVER,System,System
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$ITEM_NAME,SERVER,Cyber Exposures,Cyber Exposures
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$QUANT_SCORES$SYSTEM_HEADER,SERVER,System,System
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$QUANT_SCORES$DATA_EXFILTRATION_HEADER,SERVER,Data Exfiltration,Data Exfiltration
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$QUANT_SCORES$BUSINESS_INTERRUPTION_HEADER,SERVER,Business Interruption,Business Interruption
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$QUANT_SCORES$GDRP_REGULATORY_EXPOSURE_HEADER,SERVER,GDPR Regulatory Exposure,GDPR Regulatory Exposure
DASHBOARDS$ORGANIZATION$CYBER_EXPOSURES$QUANT_SCORES$TOTAL_EXPOSURE_HEADER,SERVER,Total Exposure,Total Exposure
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$ITEM_NAME,SERVER,Exposure Summary,Exposure Summary
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$CYBER_INSURANCE_SUMMARY$ITEM_NAME,SERVER,Cyber Insurance Quantification Summary,Cyber Insurance Quantification Summary
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$CYBER_INSURANCE_SUMMARY$QUANTIFICATION_METRIC_HEADER,SERVER,Quantification Metric,Quantification Metric
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$CYBER_INSURANCE_SUMMARY$QUANT_HEADER,SERVER,Quantification,Quantification
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$CYBER_INSURANCE_SUMMARY$FORMULA_HEADER,SERVER,Formula,Formula
DASHBOARDS$ORGANIZATION$EXPOSURE_SUMMARY$CYBER_INSURANCE_SUMMARY$TOTAL_EXPOSURE_HEADER,SERVER,Total Exposure,Total Exposure
DASHBOARDS$RESIDUAL_CYBER_RISK$NAME,SERVER,Residual Cyber Risk,Residual Cyber Risk
DASHBOARDS$RESIDUAL_CYBER_RISK$DESCRIPTION,SERVER,Displays the cyber risk post assessment and with cyber tool integration,Displays the cyber risk post assessment and with cyber tool integration
DASHBOARDS$RESIDUAL_CYBER_RISK$RESIDUAL_CYBER_RISK$ITEM_NAME,SERVER,Residual Cyber Risk,Residual Cyber Risk
