Constant,Scope,Value,Default Value
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$ITEM_NAME,DASHBOARD,Summary Scores,Summary Scores
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$LICENSE_COST_HEADER,DASHBOARD,License Costs,License Costs
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$LICENSE_NAME_HEADER,DASHBOARD,License Name,License Name
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$LICENSE_TYPE_HEADER,DASHBOARD,License Type,License Type
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$PROJECT_NAME_HEADER,DASHBOARD,Project Name,Project Name
DASHBOARDS$BUDGETING$SUMMARY$SCORES_GRID$TASKS_HEADER,DASHBOARD,Tasks,Tasks
DASHBOARDS$CFO_DASHBOARD,DASHBOARD,CFO Dashboard,CFO Dashboard
DASHBOARDS$CISO_ANALYTICS,DASHBOARD,CISO Analytics,CISO Analytics
DASHBOARDS$CISO_DASHBOARDS,DASHBOARD,CISO Dashboard,CISO Dashboard
DASHBOARDS$CISO$DIGITAL_ASSET,DASHBOARD,Digital Asset Dashboard,Digital Asset Dashboard
DASHBOARDS$CLOUD$DESCRIPTION,DASHBOARD,Displays cloud scores,Displays cloud scores
DASHBOARDS$CLOUD$NAME,DASHBOARD,Cloud Cyber Risk Scores,Cloud Cyber Risk Scores
DASHBOARDS$CLOUD$SUMMARY$CYBER_RISK_CHART$ITEM_NAME,DASHBOARD,Cloud Cyber Risk Scoring Summary,Cloud Cyber Risk Scoring Summary
DASHBOARDS$CLOUD$SUMMARY$CYBER_RISK_CHART$THRESHOLD,DASHBOARD,Cyber Risk Threshold,Cyber Risk Threshold
DASHBOARDS$CLOUD$SUMMARY$CYBER_RISK_CHART$X_AXIS,DASHBOARD,Vendor,Vendor
DASHBOARDS$CLOUD$SUMMARY$CYBER_RISK_CHART$Y_AXIS,DASHBOARD,Score,Score
DASHBOARDS$CLOUD$SUMMARY$CYBER_RISK_TABLE$IMPACT_TOTAL_HEADER,DASHBOARD,Impact Total,Impact Total
